Good,good,1.5,1.77
evening,evening,1.78,2.3200000000000003
and,and,2.34,2.58
thank,thank,2.58,2.92
you,you,2.92,3.09
We,we,3.09,3.3
are,are,3.3,3.51
happy,happy,3.51,4.04
to,to,4.04,4.21
welcome,welcome,4.21,4.61
you,you,4.61,4.79
to,to,4.79,5.01
Milwaukee,milwaukee,5.01,5.72
for,for,5.74,5.88
this,this,5.88,6.08
Democratic,democratic,6.14,6.83
debate,debate,6.83,7.3
We,we,7.57,7.760000000000001
are,are,7.76,7.95
especially,especially,7.95,8.66
pleased,pleased,8.66,9.1
to,,,
thank,thank,9.16,9.39
our,our,9.389999,9.539999
partners,partners,9.54,10.09
at,at,10.09,10.22
Facebook,<unk>,10.370000000000001,10.9
who,who,11.19,11.37
have,have,11.37,11.53
helped,helped,11.53,11.809999999999999
us,us,11.809999,12.209999
set,set,12.259999,12.549999
up,up,12.55,12.790000000000001
a,a,12.809999,12.979999
vibrant,vibrant,13.03,13.6
conversation,conversation,13.599999,14.469999
among,among,14.679999,14.999999
voters,voters,15.0,15.37
who,who,15.37,15.52
are,are,15.52,15.6
undecided,undecided,15.639999,16.429999
And,and,16.709999,16.859999
tonight,tonight,16.859999,17.219998999999998
you're,you're,17.219999,17.349999
going,going,17.35,17.470000000000002
to,,,
hear,hear,17.539999,17.729999000000003
some,some,17.73,17.92
of,of,17.92,18.060000000000002
their,their,18.07,18.41
questions,questions,18.42,19.090000000000003
for,for,19.109999,19.229999
the,the,19.23,19.34
candidates,candidates,19.34,20.01
And,and,20.29,20.68
you,you,20.69,20.860000000000003
can,can,20.86,21.03
follow,follow,21.03,21.35
along,along,21.35,21.71
at,at,21.72,21.919999999999998
home,home,21.92,22.450000000000003
on,on,22.7,22.86
the,the,22.86,22.96
PBS,<unk>,22.97,23.22
NewsHour,newshour,23.509999999999998,24.02
page,page,24.02,24.46
on,on,24.48,24.8
Facebook,<unk>,24.810000000000002,25.490000000000002
We,we,25.94,26.1
also,also,26.099999,26.359999000000002
want,want,26.36,26.52
to,to,26.52,26.58
thank,thank,26.58,26.889999999999997
our,our,26.889999,27.119999
hosts,hosts,27.119999999999997,27.569999999999997
the,the,27.57,27.68
University,university,27.679999000000002,28.379999
of,of,28.380000000000003,28.520000000000003
Wisconsin,wisconsin,28.52,29.12
Milwaukee,milwaukee,29.130000000000003,29.840000000000003
on,on,30.07,30.28
whose,whose,30.28,30.48
campus,campus,30.48,30.96
we,we,30.96,31.14
meet,meet,31.139999,31.499999
here,here,31.58,31.939999999999998
in,in,31.939999999999998,32.04
the,the,32.04,32.14
beautiful,beautiful,32.139999,32.769999000000006
Helen,helen,32.78,33.21
Bader,<unk>,33.219999,33.619999
Concert,concert,33.66,34.13999999999999
Hall,hall,34.139999,34.589999000000006
We,we,35.039999,35.199999
want,want,35.199999,35.409999
to,to,35.41,35.489999999999995
also,also,35.5,35.94
extend,extend,35.940000999999995,36.38000099999999
our,our,36.379999,36.539998999999995
warm,warm,36.549999,36.919999
thanks,thanks,36.92,37.31
to,to,37.31,37.5
Milwaukee,milwaukee,38.0,38.41
Public,public,38.58,39.019999999999996
Radio,radio,39.02,39.620000000000005
and,and,39.84,40.010000000000005
Milwaukee,milwaukee,40.01,40.53
Public,public,40.53,40.82
Television,television,40.83,41.51
as,as,41.67,41.89
well,well,41.89,42.160000000000004
as,as,42.16,42.3
all,all,42.31,42.57
of,of,42.57,42.68
our,our,42.68,42.8
friends,friends,42.8,43.14
at,at,43.14,43.27
the,,,
PBS,,,
member,member,43.82,44.09
stations,stations,44.09,44.53
across,across,44.53,44.88
the,the,44.88,44.980000000000004
country,country,44.980000000000004,45.46
tuning,tuning,45.76,46.11
in,in,46.11,46.269999999999996
tonight,tonight,46.269999999999996,46.79
This,this,47.16,47.529999999999994
is,,,
the,the,47.75,47.91
sixth,sixth,47.92,48.27
time,time,48.29,48.58
the,the,48.58,48.64
Democrats,democrats,48.639999,49.159999000000006
have,have,49.16,49.31999999999999
met,met,49.32,49.53
face,face,49.53,49.81
to,to,49.84,49.910000000000004
face,face,49.91,50.3
Each,each,50.599999,50.859998999999995
time,time,50.86,51.25
we,we,51.25,51.43
learn,learn,51.429999,51.729999
more,more,51.730000000000004,52.03
about,about,52.029999000000004,52.389999
them,them,52.389999,52.739999000000005
and,,,
the,the,52.940000999999995,53.030001
presidents,presidents,53.029999000000004,53.679999
they,they,53.940000999999995,54.160000999999994
say,say,54.16,54.459999999999994
they,they,54.459998999999996,54.599999
want,want,54.6,54.83
to,to,54.83,54.9
be,be,54.91,55.41
You,you,55.68,55.97
know,know,55.98,56.23
you're,you're,56.23,56.519999999999996
watching,watching,56.52,57.080000000000005
whether,whether,57.08,57.32
you're,you're,57.32,57.47
a,a,57.47,57.519999999999996
Democrat,democrat,57.52,58.120000000000005
a,a,58.12,58.199999999999996
Republican,republican,58.2,58.790000000000006
or,or,58.79,58.88
neither,neither,58.88,59.400000000000006
because,because,59.59,60.050000000000004
you,you,60.11,60.31
believe,believe,60.31,60.72
the,the,60.72,60.86
outcome,outcome,60.86,61.28
of,of,61.28,61.39
the,the,61.4,61.5
election,election,61.5,62.15
is,is,62.309999,62.469998999999994
important,important,62.47,62.99
to,to,62.99,63.11
you,you,63.11,63.45
And,and,63.66,63.87
we,we,63.87,64.02
believe,believe,64.02,64.38
that,that,64.38,64.66
too,too,64.66,65.11999999999999
With,with,65.599999,65.86999899999999
that,that,65.87,66.29
let's,let's,66.429999,66.69999899999999
welcome,welcome,66.7,67.02
the,the,67.03,67.13
candidates,candidates,67.13,67.72999999999999
to,to,67.73,67.88000000000001
the,the,67.88,67.99
stage,stage,67.99,68.64999999999999
Senator,senator,68.86,69.36
Bernie,bernie,69.36,69.75
Sanders,sanders,69.78,70.45
of,of,70.44999899999999,70.58999899999999
Vermont,vermont,70.71999899999999,71.19999899999999
applause,applause,81.539999,81.58999899999999
Welcome,welcome,81.58999899999999,81.80999899999999
Senator,senator,82.039999,82.319999
great,,,
to,,,
see,,,
you,,,
And,and,91.209999,91.759999
former,former,91.78,92.22
Secretary,secretary,92.22,92.94
of,of,92.94,93.06
State,state,93.06,93.47
Hillary,hillary,93.52,93.92999999999999
Clinton,clinton,93.93,94.33000000000001
applause,applause,103.19000000000001,103.24000000000001
Very,very,103.24000000000001,103.28000000000002
good,good,103.28000000000002,103.39000000000001
to,to,103.42999900000001,103.65999900000001
be,be,104.75000000000001,104.91000000000001
here,here,104.91000000000001,105.08000000000001
with,with,105.21999900000002,105.309999
you,you,105.31000000000002,105.39000000000001
Thank,,,
you,,,
Welcome,welcome,113.5,113.9
to,to,113.9,114.02000000000001
you,you,114.02,114.17
both,both,114.17,114.5
Now,now,116.42,116.95
a,a,117.12,117.32000000000001
word,word,117.32,117.72
about,about,117.73,118.06
format,format,118.08,118.67999999999999
There,there,119.37,119.57000000000001
will,will,119.57,119.72999999999999
be,be,119.73,119.9
two,two,119.9,120.22
short,short,120.219999,120.639999
breaks,breaks,120.639999,121.169999
and,and,122.049999,122.109999
the,the,122.28,122.35
rules,rules,122.349999,122.749999
are,are,122.75,122.83
simple,simple,122.83,123.28
90,<unk>,123.42,123.79
seconds,seconds,123.81,124.41
for,for,124.609999,124.809999
each,each,124.809999,125.03999900000001
answer,answer,125.07,125.64999999999999
and,and,125.91,126.11999999999999
30,<unk>,126.119999,126.439999
seconds,seconds,126.45,126.9
for,for,126.9,127.03
the,the,127.03,127.15
other,other,127.15,127.37
candidate,candidate,127.37,127.88000000000001
to,to,127.91,128.06
respond,respond,128.06,128.61
With,with,128.71,129.01000000000002
Iowa,iowa,129.01,129.5
and,and,129.5,129.63
New,new,129.63,129.79999999999998
Hampshire,hampshire,129.81,130.2
behind,behind,130.2,130.57999999999998
us,us,130.58,130.75
we,we,130.75,130.89
are,are,130.89,131.0
now,now,131.0,131.31
broadening,broadening,131.31,131.87
the,the,131.88,131.98
conversation,conversation,131.98,132.79999999999998
to,to,133.0,133.16
America's,america's,133.16,133.60999999999999
heartland,heartland,133.61,134.24
and,and,134.24,134.41
beyond,beyond,134.42,134.91
including,including,134.92,135.58999999999997
here,here,135.74,136.12
in,in,136.12,136.27
Wisconsin,wisconsin,136.27,137.15
Now,now,137.79,138.2
let's,let's,138.23,138.45
turn,turn,138.45,138.64
to,to,138.639999,138.73999899999998
the,the,138.74,138.83
candidates,candidates,138.83,139.46
for,for,139.469999,139.659999
their,their,139.66,139.82
opening,opening,139.82,140.2
statements,statements,140.2,140.73
The,the,140.73,140.85999999999999
order,order,140.86,141.15
was,was,141.15,141.33
decided,decided,141.33,141.99
by,by,142.190001,142.480001
coin,coin,142.5,142.86
toss,toss,142.869999,143.249999
And,and,143.25,143.41
Senator,senator,143.41,143.71
Sanders,sanders,143.73,144.14999999999998
you,you,144.15,144.28
go,go,144.279999,144.449999
first,first,144.449999,144.879999
Well,well,145.05,145.21
Gwen,gwen,145.22,145.58
and,and,145.6,145.73
Judy,judy,145.73,146.1
thank,thank,146.11,146.4
you,you,146.4,146.51000000000002
very,very,146.51,146.76
much,much,146.76,147.04
for,for,147.04,147.19
hosting,hosting,147.19,147.60999999999999
this,this,147.61,147.75
event,event,147.75,148.07
And,and,148.07,148.25
PBS,<unk>,148.26,148.78
thank,thank,148.78,148.88
you,you,149.05,149.29000000000002
Nine,nine,151.1,151.47
months,months,151.47,151.78
ago,ago,151.78,152.25
our,our,153.07,153.4
campaign,campaign,153.4,154.25
began,began,154.55,155.10000000000002
And,and,156.219999,156.419999
when,when,156.42,156.57999999999998
it,it,156.58,156.67000000000002
began,began,156.67,157.44
we,we,157.91,158.17
had,had,158.17,158.6
no,no,159.15,159.35
political,political,159.349999,159.809999
organization,organization,159.809999,160.529999
no,no,160.539999,160.719999
money,money,160.719999,161.129999
and,and,161.92000000000002,162.13000000000002
not,not,162.129999,162.319999
much,much,162.32,162.62
name,name,162.62,162.95000000000002
recognition,recognition,162.95,163.88
outside,outside,164.14,164.60999999999999
of,of,164.61,164.74
the,,,
state,state,164.8,165.08
of,of,165.08,165.13000000000002
Vermont,vermont,165.13,165.56
A,a,166.72,166.85999999999999
lot,lot,166.86,167.13000000000002
has,has,167.13,167.4
happened,happened,167.4,167.94
in,in,167.96,168.19
nine,nine,168.19,168.43
months,months,168.43,168.78
And,and,169.82,169.97
what,what,169.97,170.12
has,has,170.12,170.27
happened,happened,170.27,170.68
is,is,170.679999,170.88999900000002
I,i,170.889999,170.98999899999998
think,think,171.02,171.26000000000002
the,the,171.27,171.4
American,american,171.4,171.9
people,people,172.32,172.82999999999998
have,have,173.36,173.59
responded,responded,173.59,174.20000000000002
to,to,174.24,174.41
a,a,174.41,174.52
series,series,174.52,175.14000000000001
of,of,175.15,175.37
basic,basic,175.38,175.93
truths,truths,175.94,176.46
and,and,177.75,177.98
that,that,177.98,178.17999999999998
is,is,178.18,178.55
that,that,178.549999,178.799999
we,we,178.799999,179.049999
have,have,179.09,179.5
today,today,179.539999,180.169999
a,a,180.440001,180.650001
campaign,campaign,180.71,181.5
finance,finance,181.51,182.16
system,system,182.16,182.72
which,which,183.14,183.42
is,is,183.42,183.7
corrupt,corrupt,183.73,184.32
which,which,184.88,185.13
is,is,185.13,185.26999999999998
undermining,undermining,185.3,186.0
American,american,186.0,186.5
democracy,democracy,186.5,187.33
which,which,187.9,188.12
allows,allows,188.12,188.61
Wall,wall,188.63,188.92
Street,street,188.92,189.38
and,and,189.42,189.67999999999998
billionaires,billionaires,189.679999,190.50999900000002
to,to,190.83,190.94000000000003
pour,pour,190.94,191.23
huge,huge,191.23,191.67
sums,sums,191.67,192.07
of,of,192.07,192.19
money,money,192.19,192.57999999999998
into,into,192.95,193.42
the,the,193.42,193.54
political,political,193.54,194.01
process,process,194.009999,194.619999
to,to,194.99,195.15
elect,elect,195.16,195.47
the,the,195.469999,195.57999900000002
candidates,candidates,195.58,196.25
of,of,196.4,196.75
their,their,196.82,197.14
choice,choice,197.15,197.64000000000001
And,and,198.459999,198.619999
aligned,aligned,198.62,199.18
with,with,199.199999,199.42999899999998
a,a,199.43,199.51000000000002
corrupt,corrupt,199.52,199.88000000000002
campaign,campaign,199.9,200.6
finance,finance,200.89,201.45
system,system,201.45,201.98
is,is,202.23,202.54999999999998
a,a,202.56,202.79
rigged,rigged,202.79,203.29
economy,economy,203.33,203.97
And,and,204.55,204.72
that's,that's,204.72,204.95
an,an,204.95,205.07
economy,economy,205.07,205.81
where,where,206.26,206.45999999999998
ordinary,ordinary,206.46,207.03
Americans,americans,207.03,207.88
are,are,208.11,208.22000000000003
working,working,208.219999,208.659999
longer,longer,208.66,209.16
hours,hours,209.16,209.54999999999998
for,for,209.55,209.67000000000002
low,low,209.67,209.89999999999998
wagers,<unk>,209.90999999999997,209.92
They,they,210.87,211.04
