Of,of,2.15,2.17
course,course,2.17,2.21
a,,,
great,great,2.38,2.6
education,education,2.6,3.22
isn't,isn't,3.25,3.54
all,all,3.55,3.79
we,we,3.79,3.95
need,need,3.95,4.21
in,in,4.22,4.38
this,this,4.38,4.57
new,new,4.57,4.79
economy,economy,4.79,5.28
We,we,6.71,6.85
also,also,6.85,7.06
need,need,7.06,7.239999999999999
benefits,benefits,7.25,7.76
and,and,7.76,7.89
protections,protections,7.89,8.6
that,that,8.599999,8.759999
provide,provide,8.76,9.3
a,a,9.37,9.459999999999999
basic,basic,9.46,9.870000000000001
measure,measure,9.87,10.149999999999999
of,of,10.2,10.259999999999998
security,security,10.259999999999998,10.679999999999998
After,,,
all,,,
it's,it's,13.2,13.45
not,not,13.45,13.66
much,much,13.849999,14.259999
of,of,14.299999,14.449999
a,a,14.45,14.51
stretch,stretch,14.509999,14.809999000000001
to,to,14.83,14.96
say,say,14.96,15.23
that,that,15.23,15.49
some,some,15.559999,15.759998999999999
of,of,15.759999,15.829999
the,the,15.83,15.91
only,only,15.92,16.18
people,people,16.18,16.509999999999998
in,in,16.51,16.6
America,america,16.6,17.1
who,,,
are,,,
going,,,
to,,,
work,work,17.559999,17.989999
the,the,18.71,18.84
same,same,18.84,19.13
job,job,19.13,19.48
in,in,19.48,19.53
the,the,19.53,19.630000000000003
same,same,19.63,19.89
place,place,19.89,20.51
with,with,20.68,20.97
a,a,20.97,21.02
health,health,21.02,21.349999999999998
and,and,21.4,21.58
retirement,retirement,21.58,22.02
package,package,22.02,22.57
for,for,22.58,22.74
30,,,
years,years,23.009999999999998,23.4
are,are,23.91,24.03
sitting,sitting,24.03,24.290000000000003
in,in,24.29,24.369999999999997
this,this,24.37,24.52
chamber,chamber,24.52,24.86
For,for,30.57,30.78
everyone,everyone,30.78,31.150000000000002
else,else,31.15,31.77
especially,especially,32.589999,33.189999
folks,folks,33.19,33.47
in,in,33.469999,33.539999
their,their,33.54,33.67
forties,forties,33.67,34.04
and,and,34.039999,34.169999000000004
fifties,fifties,34.17,34.730000000000004
saving,saving,35.699999,36.099999
for,for,36.1,36.25
retirement,retirement,36.25,36.98
or,or,37.22,37.339999999999996
bouncing,bouncing,37.35,37.79
back,back,37.78,38.06
from,from,38.07,38.410000000000004
job,job,38.49,38.84
loss,loss,38.84,39.13
has,has,39.13,39.29
gotten,gotten,39.29,39.49
a,a,39.49,39.550000000000004
lot,lot,39.55,39.75
tougher,tougher,39.76,40.089999999999996
Americans,americans,42.05,42.51
understand,understand,42.51,43.059999999999995
that,that,43.06,43.09
at,,,
some,some,43.21,43.45
point,point,43.45,43.71
in,in,43.71,43.78
their,their,43.78,43.92
careers,careers,43.92,44.440000000000005
they,they,44.480000000000004,44.61000000000001
may,may,45.53,45.67
have,have,45.67,45.79
to,to,45.79,45.89
retool,<unk>,45.9,46.7
and,and,46.7,46.730000000000004
retrain,retrain,46.9,47.449999999999996
But,but,48.19,48.32
they,they,48.32,48.410000000000004
shouldn't,shouldn't,48.41,48.709999999999994
lose,lose,48.74,49.330000000000005
what,what,49.59,49.790000000000006
they've,they've,49.79,49.91
already,already,49.91,50.12
worked,worked,50.12,50.4
