Tonight,tonight,0.43,0.79
there,there,0.85,1.08
are,are,1.08,1.27
just,just,1.27,1.61
four,four,1.61,2.13
candidates,candidates,2.16,2.73
on,on,2.73,2.86
this,,,
stage,stage,3.0,3.48
Their,their,3.48,3.64
position,position,3.64,4.17
has,has,4.17,4.31
been,been,4.31,4.47
determined,determined,4.49,5.0
by,by,5.03,5.180000000000001
their,their,5.18,5.39
standing,standing,5.4,6.0200000000000005
in,in,6.59,6.75
an,an,6.75,6.85
average,average,6.86,7.21
of,of,7.21,7.32
the,the,7.32,7.430000000000001
five,five,7.45,7.75
most,most,7.8,8.11
recent,recent,8.11,8.389999999999999
national,national,8.41,8.870000000000001
polls,polls,8.88,9.260000000000002
as,as,9.26,9.42
recognized,recognized,9.42,10.0
by,by,10.03,10.229999999999999
FOX,fox,10.26,10.66
News,news,10.66,10.97
and,and,10.969999,11.159999
conducted,conducted,11.16,11.83
and,and,11.84,12.08
released,released,12.08,12.58
by,by,12.59,12.76
March,march,12.759999,12.999999
1st,<unk>,13.04,13.35
Here,here,13.7,14.319999999999999
they,they,14.4,14.780000000000001
are,are,14.83,15.32
cheering,cheering,17.2,17.25
and,and,17.25,17.28
applause,applause,17.28,17.33
Texas,texas,17.33,17.39
Senator,senator,21.42,21.71
Ted,ted,22.07,22.32
Cruz,,,
cheering,,,
and,,,
applause,,,
Florida,florida,26.059998999999998,26.399998999999998
Senator,senator,26.679999000000002,26.949999000000002
Marco,marco,27.07,27.29
Rubio,<unk>,27.779999999999998,27.869999999999997
cheering,cheering,27.869999999999997,27.98
and,,,
applause,,,
And,and,30.39,30.55
Ohio,ohio,30.549999999999997,31.16
Governor,governor,31.59,31.729999999999997
John,john,31.78,32.23
Kasich,<unk>,37.92,38.11
cheering,,,
and,,,
applause,,,
Tonight's,,,
rules,,,
are,,,
simple,,,
Up,,,
to,,,
60,,,
seconds,seconds,38.61,38.99
for,,,
each,each,39.16,39.379999999999995
answer,answer,39.45,39.980000000000004
30,,,
seconds,seconds,40.44,40.89
for,for,40.89,41.04
each,each,41.04,41.25
follow,follow,41.25,41.58
up,up,41.58,41.699999999999996
response,response,41.71,42.31
and,and,42.62,42.779999999999994
if,if,42.78,42.9
a,a,42.9,42.98
candidate,candidate,42.980000000000004,43.38
goes,goes,43.38,43.61
over,over,43.61,43.82
the,the,43.82,43.92
allotted,allotted,43.92,44.300000000000004
time,time,44.3,44.779999999999994
you,you,44.79,45.04
will,will,45.04,45.199999999999996
hear,hear,45.2,45.6
this,this,45.6,45.63
bell,bell,45.63,45.67
ringing,ringing,45.800000000000004,45.86
So,so,47.059999,47.219998999999994
pleasant,pleasant,47.219999,47.679999
Really,really,47.86,48.1
We,we,48.389999,48.589999000000006
have,have,48.59,48.720000000000006
a,a,48.719999,48.769999
big,big,48.769999999999996,48.97
crowd,crowd,48.980000000000004,49.330000000000005
here,here,49.33,49.73
and,and,49.78,49.93
while,while,49.929999,50.139999
we,we,50.139999,50.269999000000006
expect,expect,50.269999999999996,50.56999999999999
the,the,50.61,50.73
audience,audience,50.730000000000004,51.07000000000001
to,to,51.07,51.18
be,be,51.179999,51.309999000000005
enthusiastic,enthusiastic,51.309999,52.159999
and,and,52.16,52.33
responsive,responsive,52.33,52.87
at,,,
times,times,53.010000000000005,53.59
cheering,cheering,54.09,54.14
and,and,54.14,54.17
applause,applause,54.17,54.220000000000006
they,they,54.220000000000006,54.24
may,may,54.24,54.260000000000005
have,have,54.43,54.65
already,already,54.65,54.949999999999996
been,been,54.95,55.220000000000006
we,we,55.92,56.1
also,also,56.1,56.39
expect,expect,56.39,56.71
them,,,
to,to,56.94,57.04
be,be,57.04,57.37
respectful,respectful,57.39,58.17
and,and,58.26,58.41
we,we,58.41,58.51
want,want,58.51,58.73
the,the,58.730000000000004,58.82000000000001
candidates,candidates,58.82,59.3
to,to,59.3,59.4
get,get,59.4,59.6
their,their,59.6,59.79
full,full,59.79,60.08
time,time,60.09,60.34
So,so,60.480000000000004,60.82000000000001
somewhere,somewhere,61.07,61.47
between,between,61.47,61.89
