It,it,0.77,1.0
is,is,1.0,1.28
9,<unk>,1.28,1.6800000000000002
00,,,
p,,,
m,m,1.93,2.19
on,on,2.19,2.3
the,the,2.3,2.48
East,east,2.48,2.75
Coast,coast,2.75,3.23
8,,,
00,<unk>,3.3,3.75
p,p,3.82,4.13
m,m,4.13,4.55
here,here,4.61,5.03
inside,inside,5.03,5.5200000000000005
the,the,5.52,5.59
Milwaukee,milwaukee,5.59,6.27
theater,theater,6.27,6.77
Welcome,welcome,6.77,7.279999999999999
to,to,7.85,7.9799999999999995
the,the,7.98,8.1
Republican,republican,8.099999,8.689999
presidential,presidential,8.69,9.32
debate,debate,9.32,9.83
here,here,10.4,10.73
on,on,10.75,10.93
the,the,10.929999,11.059999000000001
Fox,fox,11.07,11.33
Business,business,11.33,11.76
Network,network,11.759999,12.169999
I'm,i'm,12.21,12.64
Neil,neil,12.7,13.049999999999999
Cavuto,<unk>,13.09,13.2
alongside,alongside,13.46,14.340000000000002
my,my,14.349999,14.549999
co,co,14.549999,14.719999
moderators,<unk>,15.179999,15.389999000000001
Maria,maria,15.42,15.76
Bartiromo,<unk>,15.76,15.77
and,and,16.779999,16.939999
the,the,16.940001,17.090000999999997
editor,editor,17.109999,17.459999
in,in,17.459999,17.569999
chief,chief,17.57,17.89
of,of,17.889999,18.029999
the,the,18.029999,18.119999
Wall,wall,18.119999,18.379999
Street,street,18.38,18.65
Journal,journal,18.67,19.150000000000002
Gerard,gerard,19.47,20.16
Baker,baker,20.16,20.6
Tonight,tonight,20.93,21.4
we're,,,
partnering,partnering,21.8,22.310000000000002
with,with,22.31,22.43
the,the,22.43,22.5
Wall,wall,22.5,22.69
Street,street,22.69,22.98
Journal,journal,22.98,23.43
to,to,23.46,23.59
ask,ask,23.61,23.95
questions,questions,23.95,24.62
on,on,24.62,24.75
the,the,24.75,24.85
economy,economy,24.85,25.520000000000003
that,that,25.75,25.98
voters,voters,25.98,26.39
want,want,26.389999,26.599999
answered,answered,26.599999,27.189999
We're,we're,27.5,27.6
also,also,27.599999,27.889999
working,working,27.889999,28.209999
with,with,28.21,28.380000000000003
Facebook,,,
who,who,29.02,29.23
tells,tells,29.23,29.57
us,us,29.57,29.95
that,that,30.25,30.45
since,since,30.45,30.779999999999998
the,the,30.78,30.93
