Arnold,arnold,0.21,0.48
Schwarzenegger,schwarzenegger,0.48,1.02
served,served,1.02,1.29
as,as,1.29,1.52
the,the,1.65,1.7999999999999998
governor,governor,1.8,2.14
of,of,2.14,2.25
California,california,2.25,2.8
from,from,2.8,2.9299999999999997
2003,<unk>,3.07,3.63
to,to,3.65,3.78
2011,<unk>,3.78,4.3999999999999995
and,and,4.88,5.07
he,he,5.07,5.17
joins,joins,5.17,5.53
me,me,5.53,5.680000000000001
now,now,5.68,6.029999999999999
Governor,governor,6.43,6.6899999999999995
Schwarzenegger,schwarzenegger,6.69,7.220000000000001
welcome,welcome,7.22,7.45
back,back,7.46,7.62
to,to,7.62,7.72
Meet,meet,7.72,7.85
the,the,7.85,7.909999999999999
Press,press,7.91,8.42
Thank,thank,8.77,8.98
you,you,8.98,9.1
Chuck,chuck,9.099999,9.379999
It's,it's,9.46,9.670000000000002
wonderful,wonderful,9.679999,10.039999
to,to,10.04,10.129999999999999
be,be,10.139999,10.279999
back,back,10.28,10.719999999999999
You,you,11.46,11.56
know,know,11.559999,11.659999
this,this,11.66,11.8
has,has,11.8,11.930000000000001
been,been,11.929999,12.099999
a,a,12.099999,12.119999
year,year,12.12,12.649999999999999
for,for,12.7,12.879999999999999
outsider,outsider,12.889999,13.409999
candidates,candidates,13.41,13.92
It's,it's,13.929999,14.109999
obviously,obviously,14.11,14.52
something,something,14.52,14.969999999999999
you're,you're,14.98,15.23
familiar,familiar,15.23,15.71
with,with,15.71,15.98
Many,many,15.98,16.240000000000002
people,people,16.24,16.599999999999998
have,have,16.609999,16.889999
made,made,17.1,17.43
some,some,17.43,17.69
comparisons,comparisons,17.690001,18.780001
of,of,19.16,19.32
your,your,19.32,19.56
candidacy,candidacy,19.56,20.08
in,in,20.08,20.18
2003,<unk>,20.33,21.029999999999998
and,and,21.41,21.61
Donald,donald,21.61,21.96
Trump's,trump's,21.97,22.349999999999998
today,today,22.35,22.8
What,what,23.08,23.479999999999997
