Ladies,ladies,0.38,0.78
and,and,0.78,0.9
gentlemen,gentlemen,0.9,1.24
the,the,1.42,1.53
Republican,republican,1.53,2.24
nominee,nominee,2.25,2.79
for,for,2.81,2.98
president,president,3.01,3.76
Donald,donald,3.83,4.23
J,j,4.24,4.49
Trump,trump,4.53,5.0
and,and,5.28,5.46
the,the,5.46,5.55
Democratic,democratic,5.55,6.38
nominee,nominee,6.38,6.83
for,for,6.87,7.01
president,president,7.01,7.62
Hillary,hillary,7.81,8.2
Clinton,clinton,8.229999999999999,8.389999999999999
APPLAUSE,applause,8.389999999999999,8.44
Thank,thank,34.839999,35.019999
you,you,35.019999999999996,35.05
very,very,35.049998,35.089997999999994
much,much,35.260000000000005,35.42
for,for,35.42,35.52
being,being,35.529999000000004,35.72999900000001
here,here,35.730000000000004,35.970000000000006
We're,we're,35.969999,36.099999000000004
going,going,36.1,36.190000000000005
to,to,36.190000999999995,36.230000999999994
begin,begin,36.230000000000004,36.580000000000005
with,with,36.58,36.8
a,a,36.8,37.01
question,question,37.22,37.78
from,from,37.89,38.33
one,one,38.38,38.63
of,of,38.63,38.71
the,the,38.71,38.77
members,members,38.77,39.13
in,in,39.13,39.24
our,our,39.24,39.370000000000005
town,town,39.37,39.769999999999996
hall,hall,39.78,40.34
Each,each,40.7,40.88
of,of,40.88,41.0
you,you,41.0,41.15
will,will,41.15,41.32
have,have,41.32,41.48
two,two,41.49,41.660000000000004
minutes,minutes,41.66,41.94
to,to,41.94,42.04
respond,respond,42.04,42.49
to,to,42.49,42.580000000000005
this,this,42.58,42.78
question,question,42.79,43.28
Secretary,secretary,43.28,43.61
Clinton,clinton,43.61,43.95
you,you,43.95,44.080000000000005
won,won,44.08,44.269999999999996
the,the,44.269999999999996,44.37
coin,coin,44.37,44.629999999999995
toss,toss,44.66,44.879999999999995
so,so,44.9,45.019999999999996
you'll,you'll,45.019999999999996,45.24999999999999
go,go,45.25,45.45
first,first,45.45,45.81
Our,our,45.809999,45.919999
first,first,45.92,46.14
question,question,46.139999,46.469999
comes,comes,46.469999,47.009999
from,from,47.12,47.32
Patrice,patrice,47.32,47.85
Brock,brock,47.889999,48.359999
