Thank,thank,0.59,0.8899999999999999
you,you,0.89,1.04
Phoenix,phoenix,1.04,1.48
I,i,2.59,2.77
am,am,2.77,2.97
so,so,2.97,3.2300000000000004
glad,glad,3.55,3.9699999999999998
to,to,3.98,4.12
be,be,4.12,4.29
back,back,4.29,4.62
in,in,4.62,4.74
Arizona,arizona,4.74,5.5200000000000005
a,a,9.96,10.100000000000001
state,state,10.099999,10.639999
that,that,11.469999,11.689999
has,has,11.7,12.0
a,a,12.0,12.16
very,very,12.19,12.74
special,special,13.63,14.200000000000001
place,place,14.2,14.54
in,in,14.54,14.67
my,my,14.67,14.88
heart,heart,14.88,15.23
I,i,17.190001,17.320000999999998
love,love,17.32,17.52
the,,,
people,people,17.709999,18.039998999999998
of,of,18.039999,18.179999000000002
Arizona,arizona,18.19,18.96
and,and,19.82,20.05
together,together,20.05,20.63
we,we,20.66,20.86
are,are,20.86,21.009999999999998
going,going,21.009999999999998,21.409999999999997
to,to,21.41,21.55
win,win,21.55,21.810000000000002
the,the,21.81,21.93
White,white,21.93,22.22
House,house,22.22,22.63
in,in,22.63,22.79
November,november,22.79,23.36
Tonight,tonight,28.16,28.21
is,is,29.240000000000002,29.430000000000003
not,not,31.380000000000003,31.490000000000002
going,going,37.42,37.72
to,to,37.72,37.839999999999996
be,be,46.779999999999994,47.03999999999999
a,a,47.059999999999995,47.19
normal,normal,47.189999,47.249998999999995
rally,rally,47.25,47.599999999999994
speech,speech,47.769999999999996,48.26
Instead,instead,49.480000000000004,50.00000000000001
I,i,50.0,50.07
am,am,50.08,50.16
going,going,50.16,50.47
to,to,50.469999,50.589999
deliver,deliver,50.589999,51.099999
a,a,51.099999,51.239999
detailed,detailed,51.25,52.03
policy,policy,52.08,52.68
address,address,52.68,53.31
on,on,53.799999,54.019999
one,one,54.019999999999996,54.26
of,of,54.260000000000005,54.400000000000006
the,the,54.4,54.51
greatest,greatest,54.510000000000005,55.07000000000001
challenges,challenges,55.06,55.830000000000005
facing,facing,55.83,56.51
our,our,56.88,57.09
country,country,57.17,57.95
today,today,57.99,58.81
immigration,immigration,60.07,60.910000000000004
I,i,65.5,65.62
have,have,65.62,65.74000000000001
just,just,65.74,66.08999999999999
landed,landed,66.09,66.47
having,having,67.549999,68.009999
returned,returned,68.009999,68.689999
from,from,69.32,69.58999999999999
a,a,69.599999,69.659999
very,very,69.66,70.05
important,important,70.049999,70.669999
and,and,70.67,70.85000000000001
special,special,70.85,71.36
meeting,meeting,71.359999,72.049999
with,with,72.299999,72.459999
the,the,72.469999,72.579999
President,president,72.58,73.11
of,of,73.11,73.25
Mexico,mexico,73.25,73.85
a,a,73.85,73.94
man,man,73.94,74.25999999999999
I,i,74.26,74.34
