Good,good,1.53,1.74
evening,evening,1.74,2.14
From,from,2.15,2.41
Longwood,longwood,2.41,2.8200000000000003
University,university,2.82,3.5199999999999996
in,in,3.52,3.6
Farmville,<unk>,4.0,4.16
Virginia,virginia,4.19,4.800000000000001
and,and,4.84,5.06
welcome,welcome,5.06,5.58
to,to,5.6,5.7299999999999995
the,the,5.73,5.83
first,first,5.83,6.2
and,and,6.21,6.48
only,only,6.5,6.95
vice,vice,6.96,7.25
presidential,presidential,7.25,7.78
debate,debate,7.78,8.17
of,of,8.2,8.37
2016,<unk>,8.37,8.379999999999999
sponsored,sponsored,9.82,10.39
by,by,10.389999,10.559999
the,the,10.559999,10.689999
Commission,commission,10.69,11.09
on,on,11.09,11.23
Presidential,presidential,11.23,11.77
Debates,debates,11.77,12.34
I'm,i'm,12.74,12.91
Elaine,elaine,12.91,13.120000000000001
Quijano,<unk>,13.12,13.7
anchor,anchor,13.73,14.14
at,,,
CBSN,<unk>,14.290000000000001,14.72
and,and,15.32,15.52
correspondent,correspondent,15.53,16.29
for,for,16.299999,16.519999
CBS,cbs,16.52,17.04
News,news,17.039999,17.489999
It's,it's,17.799999,18.069999
an,an,18.08,18.31
honor,honor,18.33,18.68
to,to,18.68,18.82
moderate,moderate,18.82,19.240000000000002
this,this,19.26,19.520000000000003
debate,debate,19.52,19.94
between,between,20.2,20.57
Senator,senator,20.57,20.91
Tim,tim,20.91,21.09
Kaine,,,
and,,,
Governor,governor,21.77,22.08
Mike,mike,22.08,22.369999999999997
Pence,<unk>,22.38,22.779999999999998
Both,both,23.35,23.84
are,are,23.84,23.98
longtime,longtime,23.98,24.62
public,public,24.62,24.98
servants,servants,24.98,25.46
who,who,25.46,25.61
are,are,25.61,25.77
also,also,25.78,26.3
proud,proud,26.33,26.68
fathers,fathers,26.679999000000002,27.249999000000003
of,of,27.53,27.76
sons,sons,27.77,28.21
serving,serving,28.27,28.84
in,in,28.849999,28.989999
the,the,28.990000000000002,29.090000000000003
U,u,29.09,29.28
S,s,29.28,29.490000000000002
Marines,marines,29.490000000000002,30.07
The,the,30.71,30.830000000000002
campaigns,campaigns,30.83,31.38
have,have,31.380000000000003,31.490000000000002
agreed,agreed,31.490000000000002,31.76
to,to,31.759999,31.829999
the,the,31.83,31.939999999999998
rules,rules,31.939999999999998,32.309999999999995
of,of,32.309999,32.449999
this,this,32.45,32.61
90,,,
minute,minute,32.929999,33.169999000000004
debate,debate,33.17,33.59
There,there,33.87,34.029999999999994
will,will,34.029999000000004,34.149999
be,be,34.15,34.29
nine,nine,34.289999,34.619999
different,different,34.619999,35.009999
segments,segments,35.019999999999996,35.56999999999999
covering,covering,35.57,35.93
domestic,domestic,35.93,36.46
and,and,36.49,36.79
foreign,foreign,36.79,37.1
policy,policy,37.1,37.6
issues,issues,37.6,38.03
Each,each,38.42,38.690000000000005
segment,segment,38.69,39.099999999999994
will,will,39.1,39.2
begin,begin,39.2,39.620000000000005
with,with,39.64,39.84
a,,,
question,,,
to,,,
both,both,40.54,40.86
candidates,candidates,40.87,41.419999999999995
who,,,
will,will,41.730000000000004,41.93000000000001
each,each,41.93,42.1
have,have,42.1,42.410000000000004
two,two,42.44,42.669999999999995
minutes,minutes,42.67,43.010000000000005
to,to,43.04,43.17
answer,answer,43.17,43.72
Then,then,44.13,44.49
I'll,i'll,44.51,44.72
ask,ask,44.72,44.91
follow,follow,44.91,45.279999999999994
up,up,45.28,45.39
questions,questions,45.4,45.94
to,to,45.94,46.04
facilitate,facilitate,46.04,46.6
a,a,46.63,46.7
discussion,discussion,46.7,47.330000000000005
between,between,47.33,47.66
the,the,47.66,47.76
candidates,candidates,47.759999,48.409999
By,by,48.799999,49.029999
coin,coin,49.03,49.31
toss,toss,49.33,49.66
