Welcome,welcome,1.37,1.8
back,back,1.81,2.1
to,,,
the,the,2.25,2.34
University,university,2.34,3.02
of,of,3.16,3.18
Houston,houston,3.18,3.38
and,,,
the,the,4.21,4.29
Republican,republican,4.29,4.93
presidential,presidential,4.97,5.609999999999999
debate,debate,5.7299999999999995,5.909999999999999
The,the,6.359999999999999,6.379999999999999
candidates,candidates,6.55,7.0
they,they,7.32,7.53
are,are,7.53,7.65
now,now,7.65,7.92
in,in,7.92,8.07
place,place,8.07,8.47
Their,their,8.79,9.01
positions,positions,9.01,9.58
were,were,9.58,9.74
selected,selected,9.74,10.25
based,based,10.26,10.629999999999999
on,on,10.63,10.74
their,their,10.74,10.9
standing,standing,10.9,11.4
in,,,
the,the,11.44,11.57
delegate,delegate,11.57,12.0
race,race,12.0,12.35
through,through,12.52,12.86
Nevada,nevada,12.86,13.399999999999999
with,with,13.639999,13.849999
the,,,
top,top,13.9,14.200000000000001
candidate,candidate,14.2,14.66
in,in,14.66,14.73
the,the,14.73,14.84
center,center,14.839999,15.189999
and,and,15.19,15.33
the,the,15.33,15.49
others,others,15.5,15.84
extending,extending,15.839999,16.439999
outward,outward,16.459999,17.069999
I,i,17.389999,17.449999
want,want,17.449999,17.609999
to,to,17.609999,17.679999
tell,tell,17.68,17.85
you,you,17.85,17.970000000000002
how,,,
tonight's,,,
debate,debate,18.549999,18.849999
will,will,18.88,19.06
work,work,19.06,19.45
As,as,19.9,20.09
moderator,moderator,20.11,20.759999999999998
I,i,20.79,20.96
will,will,20.96,21.12
guide,guide,21.12,21.42
the,the,21.42,21.490000000000002
discussion,discussion,21.490000000000002,22.12
asking,asking,22.14,22.63
questions,questions,22.64,23.28
and,and,23.37,23.57
follow,follow,23.57,23.990000000000002
ups,ups,23.990000000000002,24.270000000000003
as,as,24.43,24.73
will,will,24.73,24.900000000000002
Maria,maria,24.93,25.28
Celeste,celeste,25.32,25.69
Dana,dana,25.69,25.790000000000003
Bash,bash,26.61,26.97
and,,,
