As,as,0.7,0.84
moderator,moderator,0.84,1.49
I,i,1.52,1.7
will,will,1.7,1.88
attempt,attempt,1.88,2.15
to,to,2.16,2.33
guide,guide,2.34,2.6799999999999997
the,the,2.68,2.75
discussion,discussion,2.75,3.35
asking,asking,3.37,3.81
questions,questions,3.81,4.28
and,and,4.28,4.46
followups,<unk>,4.47,5.11
Joining,joining,5.38,5.9
me,me,5.9,6.17
in,in,6.18,6.35
the,the,6.35,6.43
questioning,questioning,6.43,6.9399999999999995
this,this,6.94,7.08
evening,evening,7.08,7.4
will,will,7.4,7.510000000000001
be,be,7.51,7.63
Washington,washington,7.63,8.16
Times,times,8.16,8.49
reporter,reporter,8.49,8.870000000000001
Stephen,stephen,8.87,9.27
Dinan,<unk>,9.27,9.73
CNN,cnn,10.059999,10.509998999999999
Chief,chief,10.51,10.78
Political,political,10.79,11.19
Correspondent,correspondent,11.19,11.86
Dana,dana,11.86,12.129999999999999
Bash,bash,12.139999,12.639999
and,and,12.929999,13.169999
Salem,salem,13.17,13.54
Radio's,radio's,13.54,14.12
Hugh,hugh,14.139999,14.459999
Hewitt,hewitt,14.48,14.950000000000001
Candidates,candidates,15.339999,15.859999
you,you,15.87,15.989999999999998
have,have,16.119999,16.379999
one,one,16.379999,16.709999
minute,minute,16.709999,16.979999
and,and,16.98,17.19
15,<unk>,17.190001,17.680000999999997
seconds,seconds,17.68,18.19
to,to,18.190001,18.330001
answer,answer,18.33,18.639999999999997
each,each,18.67,18.930000000000003
question,question,18.93,19.44
and,and,19.48,19.94
45,<unk>,20.33,20.669999999999998
seconds,seconds,20.68,21.18
to,to,21.41,21.54
respond,respond,21.54,21.919999999999998
to,,,
followups,,,
or,or,22.57,22.87
for,for,22.87,23.0
rebuttals,<unk>,23.2,23.55
if,if,23.57,23.72
your,your,23.72,23.849999999999998
name,name,23.85,24.18
is,is,24.2,24.36
invoked,<unk>,24.5,24.71
That's,that's,24.75,24.97
longer,longer,24.98,25.6
than,than,25.8,25.94
you've,you've,25.94,26.07
had,had,26.08,26.389999999999997
in,in,26.389999,26.529999
previous,previous,26.53,26.96
debates,debates,26.96,27.51
Timing,timing,27.91,28.37
lights,lights,28.369999999999997,28.72
will,will,28.719999,28.889999000000003
be,be,28.889999,29.009999
visible,visible,29.02,29.53
Those,those,29.55,29.8
lights,lights,29.82,30.13
will,will,30.130000000000003,30.290000000000003
warn,warn,30.29,30.59
you,you,30.59,30.81
when,when,30.809998999999998,31.009998999999997
time,time,31.009999,31.279999
is,is,31.29,31.41
up,up,31.41,31.63
And,,,
