Good,good,1.3,1.54
evening,evening,1.54,1.82
everyone,everyone,1.82,2.22
from,from,2.22,2.3600000000000003
the,the,2.36,2.4699999999999998
Carrier,carrier,2.47,3.0200000000000005
Intrepid,intrepid,3.05,3.73
here,here,3.78,4.08
in,in,4.12,4.2700000000000005
New,new,4.28,4.45
York,york,4.45,4.720000000000001
City,city,4.72,5.029999999999999
In,,,
just,just,5.45,5.69
a,a,5.69,5.75
couple,couple,5.75,6.02
of,of,6.02,6.109999999999999
short,short,6.11,6.390000000000001
months,months,6.39,6.63
Americans,americans,6.63,7.14
are,are,7.14,7.199999999999999
going,going,7.2,7.3
to,to,7.3,7.359999999999999
vote,vote,7.36,7.630000000000001
in,in,7.67,7.81
a,a,7.81,7.869999999999999
critical,critical,7.98,8.38
election,election,8.38,8.850000000000001
Hillary,hillary,9.19,9.52
Clinton,clinton,9.52,9.82
and,and,9.82,9.96
Donald,donald,9.969999,10.349999
Trump,trump,10.36,10.7
are,are,10.7,10.79
vying,vying,10.79,11.19
not,not,11.19,11.37
only,only,11.37,11.59
to,to,11.59,11.68
become,become,11.679999,12.069999000000001
president,president,12.07,12.61
of,of,12.61,12.7
the,the,12.71,12.81
United,united,12.809999,13.219999
States,states,13.219999,13.549999
but,but,13.549999,13.719999
one,one,13.75,13.99
of,of,13.99,14.14
them,them,14.139999,14.429998999999999
will,will,14.679999,14.869999
become,become,14.87,15.26
the,the,15.259999,15.359999
leader,leader,15.36,15.649999999999999
of,of,15.65,15.790000000000001
the,the,15.79,15.85
most,most,15.849999,16.159999
potent,potent,16.17,16.560000000000002
military,military,16.57,17.09
force,force,17.119999,17.489999
the,the,17.75,17.86
world,world,17.859999,18.219998999999998
has,has,18.219999,18.419999
ever,ever,18.42,18.650000000000002
seen,seen,18.65,19.009999999999998
I’m,i'm,19.42,19.560000000000002
standing,standing,19.56,19.93
in,in,19.93,20.009999999999998
a,a,20.009999999999998,20.069999999999997
place,place,20.07,20.36
where,where,20.36,20.509999999999998
I,i,20.509999999999998,20.589999999999996
can,can,20.59,20.79
actually,actually,20.79,21.21
see,see,21.21,21.44
the,the,21.44,21.57
site,site,21.57,21.87
of,of,21.87,21.970000000000002
the,the,21.97,22.04
World,world,22.04,22.31
Trade,trade,22.31,22.61
Center,center,22.61,22.81
