My,my,0.97,1.07
next,next,1.07,1.31
guest,guest,1.31,1.53
Wisconsin,wisconsin,1.95,2.42
Senator,senator,2.42,2.71
Ron,ron,2.71,2.94
Johnson,johnson,2.94,3.32
is,is,3.35,3.5500000000000003
up,up,3.55,3.7399999999999998
for,,,
reelection,reelection,3.81,4.25
in,in,4.25,4.35
November,november,4.35,4.83
and,and,5.1,5.35
does,does,5.35,5.609999999999999
face,face,5.61,5.78
a,,,
tough,tough,5.95,6.17
fight,fight,6.18,6.41
to,to,6.41,6.49
hold,hold,6.49,6.69
onto,onto,6.69,6.91
his,,,
seat,seat,6.98,7.2
in,in,7.2,7.3100000000000005
a,a,7.31,7.369999999999999
swing,swing,7.37,7.640000000000001
state,state,7.64,8.03
that,that,8.32,8.46
has,has,8.46,8.600000000000001
gone,gone,8.599999,8.869999
blue,blue,8.87,9.33
more,more,9.54,9.86
often,often,9.86,10.33
than,than,10.55,10.780000000000001
not,not,10.78,11.069999999999999
Senator,senator,11.75,12.03
Johnson,johnson,12.03,12.469999999999999
welcome,welcome,12.469999,12.659999
back,back,12.67,12.82
to,to,12.82,12.9
Meet,meet,12.9,13.030000000000001
the,the,13.03,13.09
Press,press,13.09,13.58
Morning,morning,14.99,15.23
Chuck,chuck,15.23,15.42
How,how,15.42,15.51
are,,,
you,you,15.509999,15.589999
doing,doing,15.589999,15.859999
I'm,i'm,15.92,16.09
pretty,pretty,16.09,16.28
good,good,16.279999,16.429999
Let,let,16.43,16.52
me,me,16.52,16.62
ask,ask,16.619999,16.849999
you,you,16.85,16.970000000000002
straight,straight,17.190001,17.540001
up,up,17.539999,17.789999
Are,are,19.32,19.45
you,you,19.45,19.529999999999998
going,going,19.53,19.61
to,,,
say,say,19.67,19.900000000000002
who,who,19.9,20.09
you're,you're,20.09,20.28
voting,voting,20.29,20.599999999999998
for,for,20.6,20.75
on,on,20.75,20.83
Tuesday,tuesday,20.83,21.33
Are,are,21.34,21.46
you,you,21.46,21.630000000000003
going,going,21.63,21.89
to,to,21.89,22.02
endorse,endorse,22.02,22.49
before,before,22.490000000000002,22.790000000000003
Tuesday,tuesday,22.79,23.189999999999998
I,i,25.02,25.18
have,have,25.19,25.290000000000003
not,not,25.29,25.48
endorsed,endorsed,25.48,26.12
You,you,26.259999999999998,26.369999999999997
know,know,26.369999999999997,26.439999999999998
I've,i've,26.439999999999998,26.54
certainly,certainly,26.54,26.849999999999998
stated,stated,26.849999,27.139999
my,my,27.139999,27.249999
intention,intention,27.25,27.69
to,to,27.689999999999998,28.009999999999998
support,support,28.27,28.66
whoever,whoever,28.66,28.87
the,the,28.869999999999997,28.979999999999997
Republican,republican,28.98,29.35
nominee,nominee,29.36,29.81
is,is,29.809998999999998,29.979999
I've,i've,29.98,30.09
got,got,30.09,30.28
to,to,31.03,31.05
have,have,31.05,31.09
faith,faith,31.71,32.03
in,in,32.03,32.25
Wisconsin,wisconsin,32.349999,32.829998999999994
primary,primary,32.849999,33.219998999999994
voters,voters,33.219999,33.579999
as,as,33.58,33.73
well,well,33.730000000000004,33.940000000000005
as,as,33.94,34.089999999999996
American,american,34.6,35.13
or,or,35.369999,35.509999
the,,,
Republican,republican,35.519999999999996,35.92999999999999
