Good,good,0.91,1.1
evening,evening,1.1,1.5
I'm,i'm,1.5,1.71
John,john,1.71,2.04
Dickerson,<unk>,2.07,2.33
This,this,3.3,3.53
holiday,holiday,3.53,3.9699999999999998
weekend,weekend,3.97,4.42
as,as,4.42,4.58
America,america,4.58,5.12
honors,honors,5.18,5.68
our,our,5.68,5.9399999999999995
first,first,5.99,6.24
president,president,6.33,6.75
we're,we're,7.14,7.3
about,about,7.3,7.59
to,,,
hear,,,
from,from,8.02,8.23
six,six,8.26,8.58
men,men,8.61,8.91
who,who,8.929999,9.149999000000001
hope,hope,9.15,9.35
to,to,9.37,9.489999999999998
be,be,9.49,9.68
the,,,
45th,<unk>,9.9,10.15
The,the,10.219999999999999,10.35
candidates,candidates,11.15,11.57
for,for,11.62,11.78
the,the,11.78,11.83
Republican,republican,11.86,12.29
nomination,nomination,12.34,13.12
are,are,13.12,13.29
here,here,13.29,13.549999999999999
in,in,13.549999,13.689999
South,south,13.69,14.0
Carolina,carolina,14.0,14.58
for,for,14.599999,14.799999
their,their,14.799999,14.999998999999999
ninth,ninth,15.0,15.43
debate,debate,15.49,15.93
one,one,16.440001,16.780001
week,week,16.779999,17.009999
before,before,17.01,17.360000000000003
this,this,17.359999,17.539998999999998
state,state,17.549999,17.829999
holds,holds,17.85,18.32
the,,,
first,first,18.440001,18.750000999999997
in,in,18.75,18.83
the,the,18.83,18.939999999999998
South,south,18.94,19.25
primary,primary,19.25,19.82
George,george,20.59,20.83
Washington,washington,20.83,21.43
wrote,wrote,21.43,21.69
that,that,22.34,22.48
the,the,22.48,22.580000000000002
truth,truth,22.58,23.06
will,will,23.06,23.24
ultimately,ultimately,23.27,23.88
prevail,prevail,23.89,24.64
where,where,24.86,25.06
there,there,25.06,25.24
is,is,25.240000000000002,25.46
pains,pains,25.490000000000002,25.96
taken,taken,26.0,26.35
to,to,26.349999,26.519999000000002
bring,bring,26.52,26.75
it,it,26.75,26.92
to,to,26.98,27.11
light,light,27.11,27.59
We,we,28.02,28.25
hope,hope,28.25,28.47
to,to,28.469999,28.579999
shed,shed,28.58,28.86
some,some,28.86,29.02
light,light,29.02,29.24
on,on,29.240000000000002,29.360000000000003
the,the,29.36,29.439999999999998
candidates,candidates,29.439999999999998,29.959999999999997
positions,positions,29.969999,30.519999000000002
tonight,tonight,30.52,30.96
to,to,30.990000000000002,31.12
help,help,31.119999999999997,31.299999999999997
voters,voters,31.309998999999998,31.759998999999997
make,make,31.759999,31.959999
up,up,31.96,32.07
their,their,32.07,32.22
minds,minds,32.219999,32.639999
So,so,33.15,33.309999999999995
