Good,good,0.62,0.8200000000000001
evening,evening,0.82,1.25
from,from,1.26,1.51
the,the,1.51,1.9100000000000001
campus,campus,1.94,2.5
of,of,2.5,2.72
Lynn,lynn,2.72,3.06
University,university,3.07,3.8499999999999996
here,here,3.85,4.09
in,in,4.09,4.3
Boca,boca,4.31,4.67
Raton,raton,4.67,5.39
Florida,florida,5.5,6.14
This,this,6.15,6.44
is,is,6.45,6.7
the,the,6.7,6.92
fourth,fourth,6.94,7.340000000000001
and,,,
last,last,7.6,8.01
debate,debate,8.01,8.44
of,of,8.44,8.53
the,the,8.54,8.69
2012,<unk>,9.05,9.42
campaign,campaign,9.429999,10.039999
brought,brought,10.05,10.34
to,to,10.34,10.42
you,you,10.42,10.58
by,by,10.58,10.91
the,the,10.92,11.05
Commission,commission,11.05,11.58
on,on,11.58,11.75
Presidential,presidential,11.77,12.48
Debates,debates,12.48,13.030000000000001
This,this,13.41,13.65
one's,one's,13.65,13.89
on,on,13.889999,14.079998999999999
foreign,foreign,14.09,14.5
policy,policy,14.5,15.12
I'm,i'm,15.17,15.45
Bob,bob,15.45,15.649999999999999
Schieffer,<unk>,16.139999,16.159999
of,of,16.16,16.24
CBS,cbs,16.24,16.819999999999997
News,news,16.82,17.26
The,the,17.27,17.4
questions,questions,17.4,17.959999999999997
are,are,17.959999,18.019999
mine,mine,18.02,18.45
and,and,18.92,19.240000000000002
I,i,19.24,19.4
have,have,19.41,19.64
not,not,19.65,19.95
shared,shared,19.95,20.349999999999998
them,them,20.35,20.580000000000002
with,with,20.58,20.7
the,the,20.7,20.8
candidates,candidates,20.8,21.42
or,or,21.44,21.900000000000002
their,their,21.9,22.25
aides,aides,22.29,22.8
The,the,22.8,22.98
audience,audience,22.98,23.45
has,has,23.45,23.64
taken,taken,23.64,23.98
a,a,23.98,24.01
vow,vow,24.009999999999998,24.27
of,of,24.27,24.48
silence,silence,24.48,25.18
no,no,25.43,25.63
applause,applause,25.63,26.31
no,no,26.33,26.49
reaction,reaction,26.490000000000002,27.05
of,of,27.05,27.18
any,any,27.21,27.53
kind,kind,27.53,28.02
except,except,28.02,28.55
right,right,28.58,29.0
now,now,29.0,29.43
when,when,29.719999,30.029999
we,we,30.03,30.19
welcome,welcome,30.189999999999998,30.689999999999998
President,president,30.71,31.330000000000002
Barack,<unk>,31.330000000000002,31.340000000000003
