Good,good,1.93,2.1
evening,evening,2.1,2.43
from,from,2.46,2.66
Hofstra,<unk>,2.75,3.09
University,university,3.09,3.76
in,in,3.76,3.88
Hempstead,<unk>,3.89,3.9
New,new,4.47,4.6
York,york,4.6,4.9399999999999995
I'm,,,
Lester,lester,5.3,5.76
Holt,holt,5.77,6.09
anchor,anchor,6.42,6.84
of,,,
NBC,,,
Nightly,nightly,7.47,7.85
News,news,7.85,8.18
I,i,8.179999,8.249999
want,want,8.25,8.41
to,,,
welcome,welcome,8.44,8.83
you,you,8.83,9.01
to,to,9.01,9.11
the,the,9.11,9.219999999999999
first,first,9.22,9.67
presidential,presidential,9.7,10.35
debate,debate,10.349999,10.859999
The,the,11.37,11.5
participants,participants,11.5,12.12
tonight,tonight,12.12,12.459999999999999
are,are,12.49,12.66
Donald,donald,12.67,13.03
Trump,trump,13.04,13.389999999999999
and,and,13.429999,13.659999000000001
Hillary,hillary,13.66,14.040000000000001
Clinton,clinton,14.04,14.549999999999999
This,this,15.21,15.440000000000001
debate,debate,15.44,15.75
is,is,15.75,15.83
sponsored,sponsored,15.83,16.36
by,by,16.359999,16.459999
the,the,16.459999,16.589999
Commission,commission,16.59,17.08
on,on,17.08,17.24
Presidential,presidential,17.26,17.87
Debates,debates,17.869999,18.349999
a,a,18.35,18.43
nonpartisan,nonpartisan,18.43,19.29
nonprofit,nonprofit,19.29,19.97
organization,organization,19.97,20.75
The,the,21.25,21.37
commission,commission,21.37,21.880000000000003
drafted,drafted,21.88,22.47
tonight's,tonight's,22.47,22.84
format,format,22.84,23.38
and,and,23.4,23.58
the,the,23.58,23.65
rules,rules,23.65,24.009999999999998
have,have,24.009999999999998,24.209999999999997
been,been,24.279999999999998,24.339999999999996
agreed,agreed,24.339999999999996,24.669999999999998
to,to,24.669999999999998,24.869999999999997
by,by,24.869999999999997,24.889999999999997
the,the,25.06,25.18
campaigns,campaigns,25.18,26.03
The,the,26.79,26.919999999999998
90,<unk>,26.92,27.19
minute,minute,27.189999999999998,27.45
debate,debate,27.45,27.91
is,is,28.15,28.33
divided,divided,28.33,28.81
into,into,28.809998999999998,29.019999
six,six,29.02,29.32
segments,segments,29.32,29.87
each,each,29.889999,30.199999
15,<unk>,30.53,30.75
minutes,minutes,30.75,31.1
long,long,31.099999,31.569999
We'll,we'll,31.9,32.1
explore,explore,32.099999,32.579998999999994
three,three,32.58,32.94
topic,topic,32.94,33.449999999999996
areas,areas,33.45,33.900000000000006
tonight,tonight,33.9,34.28
Achieving,achieving,34.559999000000005,35.07999900000001
prosperity,prosperity,35.08,35.91
America's,america's,36.15,36.76
direction,direction,36.760000000000005,37.410000000000004
and,and,37.45,37.870000000000005
securing,securing,37.91,38.66
America,america,38.71,39.42
At,at,40.01,40.18
the,the,40.18,40.25
start,start,40.25,40.48
of,of,40.480000000000004,40.620000000000005
each,each,40.62,40.73
segment,segment,40.74,41.22
I,i,41.22,41.31
will,will,41.31,41.510000000000005
ask,ask,41.51,41.669999999999995
the,the,41.7,41.82
same,same,41.82,42.23
lead,lead,42.24,42.54
off,off,42.54,42.769999999999996
question,question,42.78,43.230000000000004
to,to,43.230000000000004,43.35
both,both,43.35,43.730000000000004
candidates,candidates,43.75,44.3
and,and,44.3,44.41
they,they,44.41,44.5
will,will,44.5,44.63
each,each,44.67,44.89
have,have,44.889999,45.129999000000005
up,up,45.139999,45.259999
to,to,45.26,45.379999999999995
two,two,45.38,45.690000000000005
minutes,minutes,45.69,46.0
to,to,46.0,46.13
respond,respond,46.13,46.800000000000004
From,from,47.33,47.519999999999996
that,that,47.519999999999996,47.72
point,point,47.719999,48.049999
until,until,48.08,48.339999999999996
the,the,48.34,48.49
end,end,48.53,48.77
of,of,48.769999999999996,48.91
the,,,
segment,segment,48.969999,49.479999
we'll,we'll,49.53,49.71
have,have,49.71,49.82
an,an,49.82,49.9
open,open,49.9,50.15
discussion,discussion,50.15,50.8
The,the,51.469999,51.569999
questions,questions,51.57,52.12
are,are,52.119999,52.209999
mine,mine,52.209998999999996,52.549999
and,and,52.549999,52.659999
have,have,52.66,52.8
not,not,52.799999,53.079999
been,been,53.08,53.269999999999996
shared,shared,53.269999999999996,53.629999999999995
with,with,53.629999,53.759999
the,,,
commission,commission,53.809999000000005,54.379999000000005
or,or,54.42,54.67
the,the,54.67,54.78
campaigns,campaigns,54.78,55.59
The,the,56.05,56.22
audience,audience,56.22,56.62
here,here,56.62,56.83
in,,,
the,the,56.86,56.98
room,room,56.98,57.3
has,has,57.3,57.44
agreed,agreed,57.44,57.78
to,to,57.78,57.89
remain,remain,57.89,58.27
silent,silent,58.28,58.99
so,so,59.019999999999996,59.19
that,that,59.19,59.33
we,we,59.33,59.489999999999995
can,can,59.49,59.660000000000004
focus,focus,59.66,60.12
on,on,60.12,60.25
what,what,60.25,60.38
the,the,60.38,60.49
candidates,candidates,60.49,61.07
are,are,61.07,61.19
saying,saying,61.19,61.739999999999995
I,i,62.05,62.209999999999994
will,will,62.21,62.46
invite,invite,62.46,62.75
you,you,62.769999999999996,62.91
to,to,62.91,63.029999999999994
applaud,applaud,63.03,63.44
however,however,63.45,63.980000000000004
at,at,64.05,64.24
this,this,64.28,64.53
moment,moment,64.53,64.95
as,as,65.21000000000001,65.38000000000001
we,we,65.38,65.52
welcome,welcome,65.52,65.86999999999999
the,the,65.87,65.95
candidates,candidates,65.95,66.60000000000001
Democratic,democratic,66.86,67.52
nominee,nominee,67.52,67.94
for,for,67.96000000000001,68.15
president,president,68.16,68.50999999999999
of,,,
the,the,68.74,68.75999999999999
United,united,68.759999,69.13999899999999
States,states,69.139999,69.469999
Hillary,hillary,69.469999,69.859999
Clinton,clinton,69.86,70.34
and,and,70.559999,70.75999900000001
Republican,republican,70.76,71.35000000000001
nominee,nominee,71.49000000000001,71.78000000000002
for,for,71.78000000000002,71.95
president,president,71.95,74.28000000000002
of,,,
the,,,
United,,,
States,,,
Donald,,,
J,j,74.45,74.67
Trump,trump,101.85,101.9
APPLAUSE,applause,101.9,101.95
How,how,101.949999,101.969999
are,are,102.139999,102.28999900000001
you,you,102.28999999999999,102.39999999999999
Donald,,,
APPLAUSE,,,
Good,,,
luck,,,
to,,,
you,,,
APPLAUSE,,,
Well,,,
I,,,
don't,don't,102.4,102.67
expect,expect,102.67,103.11
us,us,103.11,103.27
to,,,
cover,cover,103.349999,103.66999899999999
all,all,103.67,103.81
the,the,103.809999,103.98999900000001
issues,issues,103.99,104.44
of,,,
this,this,104.57,104.78999999999999
campaign,campaign,104.82,105.30999999999999
tonight,tonight,105.309999,105.619999
but,but,105.62,105.75
I,i,105.75,105.82
remind,remind,105.83,106.24
everyone,everyone,106.24,106.64999999999999
there,there,106.65,106.82000000000001
are,are,106.82,106.94
two,two,106.98,107.27000000000001
more,more,107.32,107.61999999999999
presidential,presidential,107.65,108.34
debates,debates,108.38,108.71
scheduled,scheduled,108.75,109.23
We,we,109.74,109.89999999999999
are,are,109.9,110.06
going,going,110.06,110.2
to,to,110.2,110.27
focus,focus,110.27,110.66
on,on,110.66,110.78999999999999
many,many,110.79,111.03
of,of,111.03,111.05
the,the,111.09,111.26
issues,issues,111.26,111.63000000000001
that,that,111.64,111.8
voters,voters,111.82,112.25999999999999
tell,tell,112.29,112.53
us,us,112.53,112.73
are,are,112.76,112.93
most,most,112.94,113.25999999999999
important,important,113.26,113.87
and,and,113.87,114.03
we're,we're,114.03,114.12
going,going,114.12,114.22
to,to,114.22,114.28
press,press,114.28,114.57000000000001
for,for,114.57,114.74
specifics,specifics,114.74,115.46
I,i,115.8,115.94
am,am,115.94,116.07
honored,honored,116.07,116.39999999999999
to,to,116.41,116.49
have,have,116.49,116.71
this,this,116.71000000000001,116.94000000000001
role,role,116.94,117.23
but,but,117.23,117.4
this,this,117.4,117.60000000000001
evening,evening,117.599999,117.939999
belongs,belongs,117.94,118.38
to,to,118.38,118.46
the,the,118.46000000000001,118.57000000000001
candidates,candidates,118.57,119.28999999999999
and,and,119.37,119.52000000000001
just,just,119.52,119.72
as,as,119.719999,119.819999
important,important,119.82,120.33999999999999
to,to,120.349999,120.469999
the,the,120.469999,120.599999
American,american,120.599999,121.08999899999999
people,people,121.09,121.54
Candidates,candidates,121.9,122.49000000000001
we,we,122.49,122.61
look,look,122.61,122.77
forward,forward,122.77,123.03999999999999
to,to,123.03999999999999,123.11999999999999
hearing,hearing,123.12,123.36
you,you,123.36,123.53
articulate,articulate,123.53,124.08
your,your,124.08,124.2
policies,policies,124.219999,124.799999
and,and,124.799999,124.909999
your,your,124.91,125.03
positions,positions,125.039999,125.689999
