Good,good,0.77,0.92
evening,evening,0.92,1.2000000000000002
I'm,i'm,1.2,1.3399999999999999
Carl,,,
Quintanilla,,,
with,with,2.13,2.27
my,my,2.27,2.43
colleagues,colleagues,2.43,2.9400000000000004
Becky,becky,2.94,3.23
Quick,quick,3.23,3.4699999999999998
and,and,3.47,3.5700000000000003
John,john,3.57,3.83
Harwood,,,
We'll,we'll,4.52,4.6899999999999995
be,be,4.69,4.7700000000000005
joined,joined,4.77,5.069999999999999
tonight,tonight,5.07,5.3500000000000005
by,by,5.35,5.4799999999999995
some,some,5.4799999999999995,5.67
of,of,5.67,5.75
CNBC's,<unk>,6.32,6.33
top,top,6.34,6.62
experts,experts,6.62,7.04
on,on,7.04,7.12
the,the,7.12,7.21
markets,markets,7.21,7.67
and,and,7.97,8.15
personal,personal,8.15,8.55
finance,finance,8.55,9.030000000000001
Let's,let's,9.349999,9.639999
get,get,9.639999,9.799999
through,through,9.8,9.930000000000001
the,the,9.929999,10.039999
rules,rules,10.04,10.489999999999998
of,of,10.52,10.67
the,the,10.67,10.74
road,road,10.74,11.07
Candidates,candidates,11.09,11.52
get,get,11.52,11.69
30,,,
seconds,seconds,12.03,12.44
to,to,12.44,12.54
answer,answer,12.54,12.86
the,the,12.86,12.99
opening,opening,12.99,13.3
question,question,13.299999,13.849999
60,<unk>,14.36,14.559999999999999
seconds,seconds,14.599999,15.009999
to,to,15.009999,15.099999
answer,answer,15.099999,15.409999000000001
a,a,15.41,15.47
formal,formal,15.469999,15.859999
question,question,15.86,16.39
30,,,
seconds,seconds,17.029999,17.389999
for,for,17.389999,17.499999
follow,follow,17.5,17.87
ups,,,
and,,,
rebuttals,<unk>,18.5,18.7
all,all,18.94,19.35
at,at,19.39,19.53
the,the,19.53,19.6
discretion,discretion,19.6,20.16
of,of,20.19,20.35
the,the,20.35,20.41
moderators,<unk>,20.42,20.43
We,we,21.31,21.48
want,want,21.48,21.69
you,you,21.69,21.75
to,to,21.75,21.81
weigh,weigh,21.82,22.0
in,in,22.0,22.07
from,from,22.07,22.240000000000002
home,home,22.240000000000002,22.53
You'll,you'll,22.53,22.700000000000003
see,see,22.7,22.84
your,your,22.84,22.93
tweets,,,
at,,,
the,the,23.35,23.43
bottom,bottom,23.43,23.68
of,,,
the,the,23.78,23.880000000000003
screen,screen,23.88,24.38
Use,use,24.61,24.81
the,the,24.81,24.93
hashtag,<unk>,24.93,25.09
cNBCgopdebate,<unk>,25.24,25.53
You,you,27.59,27.74
can,can,27.740000000000002,27.900000000000002
also,also,27.9,28.16
go,go,28.16,28.26
to,to,28.259999999999998,28.38
cNBC,<unk>,28.39,28.74
com,com,29.18,29.509999999999998
vote,vote,29.96,30.330000000000002
to,to,30.65,30.77
tell,tell,30.77,31.05
us,us,31.049999,31.209999
where,where,31.21,31.37
you,you,31.429999000000002,31.559999
stand,stand,31.559998999999998,32.139998999999996
throughout,throughout,32.389999,32.789999
the,the,32.79,32.88
night,night,32.88,33.29
So,so,34.4,34.54
let's,let's,34.539999,34.749999
introduce,introduce,34.75,35.13
the,the,35.129999,35.239999
candidates,candidates,35.239999999999995,35.64999999999999
for,for,35.66,35.79
tonight's,tonight's,35.789999,36.179999
Republican,republican,36.18,36.73
presidential,presidential,36.739999999999995,37.349999999999994
debate,debate,37.37,37.69
On,on,38.05,38.3
the,the,38.3,38.4
stage,stage,38.4,38.85
from,from,38.85,39.04
left,left,39.04,39.29
to,to,39.31,39.46
right,right,39.46,39.84
Governor,governor,40.21,40.56
John,john,40.56,40.800000000000004
Kasich,<unk>,40.96,41.150000000000006
applause,applause,41.150000000000006,41.2
Governor,governor,45.080000000000005,45.28
Mike,mike,45.28,45.52
Huckabee,,,
applause,,,
Governor,,,
Jeb,,,
Bush,bush,49.7,50.14
applause,applause,50.31,50.36
Senator,senator,52.85,53.160000000000004
Marco,marco,53.16,53.48
Rubio,<unk>,53.72,53.989999999999995
applause,applause,53.989999999999995,54.089999999999996
Mr,mr,56.779999999999994,56.86
Donald,donald,57.09,57.42
Trump,trump,57.43,57.66
applause,applause,59.099999999999994,59.15
Dr,dr,60.11,60.41
Ben,ben,60.41,60.68
Carson,carson,60.68,61.24
applause,applause,63.21,63.260000000000005
Mrs,mrs,63.260000000000005,63.36
Carly,carly,63.36,63.79
Fiorina,fiorina,63.82,64.45
applause,,,
Senator,,,
Ted,ted,67.4,67.5
Cruz,cruz,67.509999,68.11999899999999
applause,applause,68.599999,68.649999
Governor,governor,70.02,70.24
Chris,chris,70.24,70.53
Christie,christie,70.539999,70.86999899999999
applause,applause,71.07999899999999,71.179999
And,and,71.179999,71.209999
Senator,senator,73.039999,73.49999899999999
Rand,rand,73.54,73.91000000000001
Paul,paul,73.92,74.27
applause,applause,77.36999999999999,77.42
A,a,77.42999999999999,77.49
lot,lot,77.49,77.64999999999999
to,to,77.64999999999999,77.67
get,get,77.84,78.05
to,to,78.05,78.24
tonight,tonight,78.24,78.69999999999999
So,so,78.73,79.02000000000001
let's,let's,79.02,79.27
get,get,79.27,79.42999999999999
started,started,79.44,79.87
This,this,80.28999999999999,80.44999999999999
first,first,80.46000000000001,80.75000000000001
is,,,
an,an,80.849999,80.939999
open,open,80.96000000000001,81.28
question,question,81.28,81.81
This,this,82.849999,83.079999
series,series,83.11,83.42999999999999
of,of,83.429999,83.549999
debates,debates,83.55,84.0
is,is,84.0,84.12
essentially,essentially,84.12,85.02000000000001
a,a,85.059999,85.28999900000001
job,job,85.28999999999999,85.71
interview,interview,85.71000000000001,86.27000000000001
with,with,86.37,86.57000000000001
the,the,86.57,86.69999999999999
American,american,86.7,87.18
people,people,87.179999,87.549999
And,and,88.27,88.47999999999999
