Let,let,0.24,0.36
me,me,0.36,0.47
start,start,0.47,0.84
with,with,0.84,1.29
a,a,1.4000000000000001,1.79
simple,simple,2.64,2.93
question,question,2.93,3.3800000000000003
but,but,3.38,3.58
maybe,maybe,3.6,3.83
a,a,3.83,3.88
complicated,complicated,3.88,4.42
answer,answer,4.42,4.81
How,how,5.76,5.95
do,do,5.95,6.0200000000000005
you,you,6.02,6.1499999999999995
win,win,6.15,6.430000000000001
Senator,senator,6.6,7.13
Clinton,clinton,7.13,7.51
has,has,7.52,7.739999999999999
basically,basically,7.74,8.25
declared,declared,8.25,8.83
herself,herself,8.83,9.26
the,the,9.26,9.37
nominee,nominee,9.37,9.91
the,the,9.92,10.12
math,math,10.12,10.559999999999999
is,is,10.92,11.18
certainly,certainly,11.179999,11.859999
very,very,12.28,12.569999999999999
much,much,12.57,12.780000000000001
in,in,12.78,12.87
her,her,12.88,13.020000000000001
favor,favor,13.02,13.42
Explain,explain,13.639999,14.149999
to,to,14.15,14.21
me,me,14.21,14.38
how,how,14.38,14.530000000000001
you're,you're,14.54,15.0
the,the,15.0,15.11
nominee,nominee,15.11,15.79
in,in,16.209999,16.449999
July,july,16.449999,17.179999
in,in,17.33,17.52
your,your,17.52,17.75
head,head,17.75,18.02
Fair,fair,19.48,19.82
question,question,19.82,20.41
And,and,20.7,20.86
I,i,20.86,20.939999999999998
think,think,20.95,21.169999999999998
there,there,22.58,22.759999999999998
are,are,22.759999999999998,22.819999999999997
three,three,22.82,23.1
paths,paths,23.1,23.490000000000002
to,to,23.490000000000002,23.590000000000003
victory,victory,23.59,24.05
Number,number,24.64,24.92
one,one,24.92,25.240000000000002
I,i,25.3,25.43
want,want,25.43,25.66
to,to,25.66,25.71
go,go,25.71,25.96
into,into,25.97,26.33
the,the,26.33,26.439999999999998
convention,convention,26.439999999999998,27.22
with,with,27.42,27.630000000000003
more,more,27.639999,27.899999
pledged,pledged,27.9,28.29
delegates,<unk>,28.3,28.96
than,than,29.28,29.490000000000002
Secretary,secretary,29.490000000000002,30.090000000000003
Clinton,clinton,30.09,30.35
And,and,30.349999,30.459999
that's,that's,30.46,30.650000000000002
going,going,30.65,30.77
to,to,30.77,30.79
be,be,30.79,30.91
an,an,30.91,30.94
uphill,uphill,31.009999,31.369999
fight,fight,31.380000000000003,31.730000000000004
Because,because,32.07,32.22
for,,,
270,<unk>,32.61,33.57
or,or,33.57,33.63
so,so,33.63,33.81
delegates,,,
and,,,
we’ve,we've,34.449999,34.549999
got,got,34.549999,34.759999
46,<unk>,34.969999,35.319999
percent,percent,35.66,36.099999999999994
of,of,36.32,36.5
the,the,36.5,36.58
pledged,pledged,36.58,36.94
delegates,<unk>,37.14,37.44
What,what,37.9,37.96
I,i,38.13,38.17
want,want,38.17,38.440000000000005
to,to,38.44,38.489999999999995
do,do,38.49,38.79
and,and,38.8,38.93
I,i,38.93,39.02
think,think,39.04,39.26
we,we,39.26,39.379999999999995
can,can,39.38,39.64
is,is,39.64,39.8
win,win,39.8,40.05
California,california,40.05,40.76
here,here,40.76,41.1
and,and,41.35,41.53
win,win,41.53,41.7
under,under,41.7,41.89
the,the,41.89,42.0
big,big,42.0,42.22
vote,vote,42.230000000000004,42.550000000000004
do,do,43.22,43.4
very,very,43.4,43.699999999999996
very,very,43.7,43.940000000000005
well,well,43.94,44.21
in,in,44.22,44.379999999999995
the,the,44.38,44.53
other,other,44.54,44.83
five,five,44.849999,45.239999
states,states,45.24,45.800000000000004
And,and,46.13,46.34
I,i,46.37,46.48
believe,believe,46.480000000000004,46.85
going,going,46.86,47.29
into,into,47.309999,48.199999
the,the,48.42,48.58
convention,convention,48.58,49.309999999999995
if,if,49.32,49.61
we,we,49.61,49.78
can,can,49.78,50.01
do,do,50.009999,50.239999
this,this,50.24,50.63
with,with,50.889999,51.079999
the,,,
majority,majority,51.12,51.71
of,of,51.71,51.84
pledged,pledged,51.839999,52.269999
delegates,<unk>,52.279999,52.939999
is,is,53.049999,53.189999
a,a,53.189999,53.199999
very,very,53.369999,53.619999
symbolic,symbolic,53.619999,54.219999
victory,victory,54.24,54.620000000000005
Second,second,54.63,54.95
of,of,54.96,55.07
all,all,55.07,55.26
we're,we're,55.94,56.16
going,going,56.16,56.3
to,to,56.3,56.36
talk,talk,56.36,56.7
to,to,56.7,56.830000000000005
those,those,56.84,57.300000000000004
superdelegates,<unk>,57.31,57.64
in,in,58.22,58.47
states,states,58.47,59.1
where,where,59.35,59.56
