Thank,thank,0.67,0.7100000000000001
you,you,0.71,0.73
for,for,0.73,0.75
being,being,0.75,0.79
with,with,0.79,0.8200000000000001
us,us,0.82,0.84
The,,,
Washington,,,
Post,,,
and,,,
Facebook,,,
these,,,
are,are,1.01,1.08
the,,,
results,,,
of,,,
this,,,
debate,,,
that,,,
the,,,
candidates,,,
have,,,
accepted,,,
They,they,1.08,1.1800000000000002
will,will,1.18,1.29
have,have,4.18,4.29
90,<unk>,5.08,5.73
seconds,seconds,9.61,10.049999999999999
to,to,10.049999999999999,10.069999999999999
answer,answer,10.329999999999998,10.719999999999999
each,each,10.719999999999999,10.739999999999998
question,question,10.91,11.38
When,when,12.04,12.399999999999999
their,their,12.4,12.56
rival,rival,12.559999,13.009998999999999
mentions,mentions,13.02,13.52
them,,,
in,,,
an,an,13.91,13.97
answer,answer,14.68,15.110000000000001
they,they,15.280000000000001,15.510000000000002
will,will,15.510000000000002,15.540000000000001
have,have,15.71,15.930000000000001
30,<unk>,15.94,16.28
seconds,seconds,16.279999,16.559999
to,to,16.789999,16.999999000000003
answer,,,
and,,,
another,,,
30,,,
seconds,,,
to,,,
answer,,,
questions,,,
follow,,,
up,,,
questions,,,
that,,,
we,,,
ask,,,
through,,,
translator,,,
We,,,
will,,,
make,,,
our,,,
questions,,,
in,,,
English,,,
and,,,
they,,,
will,,,
be,,,
translated,,,
simultaneously,,,
into,,,
Spanish,,,
for,,,
our,,,
viewers,,,
And,,,
right,,,
now,,,
each,,,
one,one,17.26,17.290000000000003
of,of,26.349999000000004,26.369999
them,them,26.370000000000005,26.480000000000004
has,,,
one,,,
minute,,,
for,for,27.130000000000003,27.42
your,your,27.439999999999998,27.47
initial,initial,32.41,32.769999999999996
words,words,32.78,33.19
We,we,33.19,33.339999999999996
begin,begin,33.339999,33.669999
with,with,33.67,33.83
Secretary,secretary,34.0,34.36
Clinton,clinton,34.359999,34.789999
Thank,thank,35.4,35.6
you,you,35.6,35.67
very,very,35.67,35.910000000000004
much,much,35.91,36.239999999999995
I've,i've,36.239999999999995,36.489999999999995
been,been,36.489999999999995,36.63999999999999
looking,looking,36.64,36.92
forward,forward,36.92,37.42
to,to,37.43,37.71
this,this,37.71,37.97
debate,debate,37.97,38.54
and,and,38.59,38.88
I,,,
want,,,
to,,,
thank,thank,39.18,39.5
Univision,univision,39.5,40.24
the,,,
Washington,washington,40.25,40.78
Post,post,40.78,41.13
Facebook,<unk>,41.14,41.77
and,and,42.2,42.230000000000004
Miami,miami,42.4,42.83
Dade,dade,42.85,43.13
College,college,43.13,43.64
the,the,43.65,44.03
largest,largest,44.09,44.760000000000005
college,college,44.76,45.18
in,in,45.179999,45.299999
North,north,45.3,45.519999999999996
America,america,45.519999999999996,46.16
for,for,46.9,47.17
hosting,hosting,47.17,47.64
us,us,47.639999,47.819999
here,here,47.82,48.08
this,this,48.08,48.3
evening,evening,48.3,48.79
applause,applause,48.8,48.85
And,and,48.93,49.28
tonight,tonight,52.23,52.66
I,i,53.47,53.61
am,,,
looking,looking,53.799999,54.139999
forward,forward,54.139999,54.529999000000004
to,to,54.6,54.65
the,the,54.66,54.76
opportunity,opportunity,54.760000000000005,55.53000000000001
to,to,55.55,55.68
discuss,discuss,55.68,56.3
how,how,56.3,56.459999999999994
we,we,56.46,56.6
knock,knock,56.6,56.870000000000005
down,down,56.87,57.099999999999994
the,the,57.1,57.21
barriers,barriers,57.22,57.879999999999995
that,that,57.88,58.160000000000004
stand,stand,58.16,58.55
in,in,58.55,58.62
the,the,58.62,58.73
way,way,58.730000000000004,59.18000000000001
of,of,59.21,59.45
people,people,59.46,60.02
getting,getting,60.31,60.660000000000004
ahead,ahead,60.66,60.91
and,and,60.91,61.05
staying,staying,61.06,61.47
ahead,ahead,61.47,61.82
starting,starting,61.82,62.19
with,with,62.19,62.33
the,the,62.33,62.39
economic,economic,62.389999,62.929999
ones,ones,62.94,63.379999999999995
My,my,63.74,64.04
focus,focus,64.05,64.59
is,is,64.61,64.78
on,on,64.78,64.93
more,more,64.929999,65.159999
good,good,65.16,65.42
paying,paying,65.42,65.77
jobs,jobs,65.77,66.33999999999999
with,with,66.38,66.67
rising,rising,66.67,67.13
incomes,incomes,67.13,67.61999999999999
for,for,67.62,67.77000000000001
families,families,67.77,68.6
and,and,68.679999,68.879999
how,how,68.88,69.13
we,we,69.139999,69.329999
prevent,prevent,69.33,70.13
corporations,corporations,70.33,71.31
from,from,71.32,71.58999999999999
taking,taking,71.59,71.94
jobs,jobs,71.940001,72.250001
out,out,72.25,72.43
of,of,72.47,72.57
our,our,72.57,72.71
country,country,72.71,73.25999999999999
by,by,73.26,73.65
imposing,imposing,73.9,74.56
an,an,74.56,74.65
exit,exit,74.65,75.0
tax,tax,75.03,75.45
making,making,75.45,75.84
them,them,75.84,76.0
pay,pay,76.01,76.24000000000001
back,back,76.24,76.52
any,any,76.52,76.72
tax,tax,76.72,77.08
breaks,breaks,77.08,77.39999999999999
they've,they've,77.4,77.62
gotten,gotten,77.62,78.05000000000001
But,but,78.48,78.67
we,we,78.67,78.8
also,also,78.8,79.21
need,need,79.21,79.55
to,to,79.56,79.7
be,be,79.71,79.86
having,having,79.87,80.25
a,a,80.25,80.39
positive,positive,80.4,80.95
agenda,agenda,80.95,81.52
for,for,81.849999,82.08999899999999
manufacturing,manufacturing,82.09,83.02000000000001
for,for,83.03,83.19
small,small,83.19,83.53999999999999
businesses,businesses,83.53999999999999,84.25999999999999
and,and,84.259999,84.409999
entrepreneurs,entrepreneurs,84.429999,84.879999
for,for,85.559999,85.699999
more,more,85.7,85.95
clean,clean,85.95,86.24000000000001
energy,energy,86.24,86.66
jobs,jobs,86.66,87.11999999999999
And,and,87.49,87.67999999999999
I,i,87.679999,87.77999899999999
also,also,87.78,88.09
look,look,88.09,88.27000000000001
forward,forward,88.27,88.72
to,to,88.719999,88.809999
discussing,discussing,88.809999,89.389999
comprehensive,comprehensive,89.41,90.1
immigration,immigration,90.1,90.69999999999999
reform,reform,90.7,91.08
with,with,91.08,91.21
a,a,91.21,91.27999999999999
path,path,91.33,91.58
to,to,91.59,91.75
citizenship,citizenship,91.75,92.61
that,that,92.83,93.0
will,will,93.0,93.15
be,be,93.15,93.28
one,one,93.28,93.45
of,of,93.45,93.53
my,my,93.53,93.73
priorities,priorities,93.73,94.34
in,in,94.34,94.45
my,my,94.45,94.66
first,first,94.67,95.07000000000001
100,<unk>,95.07,95.46
days,days,95.47,95.91
as,as,95.95,96.16
president,president,96.16,96.67999999999999
And,and,97.05,97.35
I,i,97.35,97.41999999999999
will,will,97.42,97.60000000000001
also,also,97.6,98.11
be,be,98.11,98.42
talking,talking,98.7,99.10000000000001
about,about,99.11,99.44
education,education,99.44,100.3
every,every,100.53,100.83
child,child,100.83,101.3
deserves,deserves,101.349999,101.55999899999999
a,a,101.989999,101.99999899999999
good,good,101.99999899999999,102.04999899999999
teacher,teacher,102.05999899999999,102.60999899999999
and,and,102.649999,102.79999899999999
a,a,102.80999899999999,102.90999899999998
good,good,102.90999899999998,102.93999899999999
school,school,102.93999899999999,102.97999899999999
