Uh,uh,0.16,0.47
since,since,0.5,0.88
you,you,0.88,1.04
signed,signed,1.04,1.28
the,,,
executive,executive,1.35,1.78
order,order,1.78,2.09
and,and,2.16,2.47
it,it,2.47,2.56
was,was,2.57,2.75
intended,intended,2.75,3.2199999999999998
to,,,
try,try,3.28,3.6799999999999997
I,i,3.69,3.73
think,think,3.73,3.93
you,you,3.93,3.97
were,were,3.97,4.0600000000000005
trying,trying,4.06,4.22
to,to,4.22,4.31
ratchet,ratchet,4.31,4.7299999999999995
back,back,4.73,5.07
some,some,5.41,5.86
of,of,5.89,6.14
the,the,6.14,6.239999999999999
controversy,controversy,6.26,6.85
here,here,6.85,7.09
you,you,7.36,7.58
still,still,7.58,8.13
had,had,8.139999,8.499998999999999
more,more,8.52,8.85
companies,companies,8.849999,9.349999
joining,joining,9.349999,9.789999
the,the,9.8,9.91
boycott,boycott,9.91,10.370000000000001
here,here,10.37,10.5
Bloomberg,bloomberg,10.5,10.95
Capital,capital,10.969999,11.349999
One,one,11.349999,11.529999
United,united,11.53,11.84
Airlines,airlines,11.84,12.24
William,william,12.24,12.48
Sonoma,sonoma,12.5,12.91
That's,that's,13.57,13.870000000000001
just,just,13.88,14.25
on,on,14.259999,14.489999000000001
Friday,friday,14.5,14.94
160,<unk>,15.32,15.870000000000001
companies,companies,16.139999,16.539998999999998
have,have,16.539999,16.649999
called,called,16.67,16.96
for,for,16.959999,17.309999
its,its,17.359999,17.619999
repeal,repeal,17.629999,18.259999
You,you,18.51,18.680000000000003
still,still,18.68,18.96
have,have,18.96,19.060000000000002
an,an,19.06,19.15
NBA,<unk>,19.15,19.16
commissioner,commissioner,19.45,19.919999999999998
that,that,19.92,20.16
is,is,20.18,20.55
not,not,20.56,20.869999999999997
yet,yet,20.87,21.07
committing,committing,21.08,21.63
to,to,21.64,21.77
keeping,keeping,21.77,22.06
the,the,22.06,22.139999999999997
All,all,22.14,22.240000000000002
Star,star,22.240000000000002,22.42
game,game,22.42,22.62
in,in,22.62,22.720000000000002
Charlotte,charlotte,22.72,23.07
Any,any,24.06,24.389999999999997
estimates,estimates,24.42,24.880000000000003
we,we,24.91,25.06
have,have,25.06,25.25
of,of,25.25,25.37
lost,lost,25.37,25.61
revenue,revenue,25.61,25.87
so,so,25.87,26.080000000000002
far,far,26.08,26.409999999999997
we,we,26.41,26.68
have,have,26.679999000000002,26.809999
come,come,26.809998999999998,26.959998999999996
up,up,26.96,27.11
with,with,27.11,27.28
calculated,calculated,27.28,27.82
conservative,conservative,28.429999000000002,28.889999000000003
calculations,calculations,28.889999,29.369999
39,<unk>,29.369999999999997,30.15
7,,,
million,million,30.32,30.66
186,<unk>,31.75,32.14
million,million,32.17,32.57
perhaps,perhaps,32.639999,32.999999
in,in,33.0,33.11
revenue,revenue,33.11,33.45
and,and,33.469999,33.629999
some,some,33.63,33.830000000000005
have,have,34.42,34.510000000000005
suggested,suggested,34.510000000000005,34.99
billions,billions,35.0,35.47
in,in,35.480000000000004,35.61000000000001
lost,lost,35.609999,35.839999
revenue,revenue,35.84,36.07
All,all,36.93,37.16
of,of,37.17,37.28
this,this,37.29,37.519999999999996
now,now,37.52,37.800000000000004
do,do,38.13,38.21
you,you,38.21,38.230000000000004
have,have,38.23,38.339999999999996
regrets,regrets,38.34,38.690000000000005
signing,signing,38.69,38.96
this,this,38.96,39.13
law,law,39.13,39.330000000000005
I'm,,,
going,,,
to,,,
as,as,39.95,40.150000000000006
governor,governor,40.16,40.69
as,as,40.76,41.019999999999996
I,i,41.019999999999996,41.089999999999996
did,did,41.09,41.28
with,with,41.28,41.44
mayor,mayor,41.44,41.8
I,,,
will,will,42.11,42.37
always,always,42.41,42.86
call,call,42.86,43.14
out,out,43.14,43.31
government,government,43.34,43.78
overreach,<unk>,43.79,44.39
And,and,44.39,44.42
this,this,44.59,44.870000000000005
example,example,44.889999,45.619999
the,the,45.62,45.82
city,city,45.83,46.11
of,of,46.11,46.21
Charlotte,charlotte,46.21,46.62
where,where,46.62,46.779999999999994
I,i,46.78,46.84
was,was,46.84,47.050000000000004
mayor,mayor,47.05,47.37
for,for,47.37,47.519999999999996
14,<unk>,47.519999999999996,47.97
years,years,47.969999,48.309999000000005
did,did,48.33,48.559999999999995
government,government,48.559999,48.939999
overreach,,,
And,and,49.53,49.64
what,what,49.639999,49.819999
your,your,49.82,50.17
pre,pre,50.29,50.54
clip,clip,50.54,50.87
didn't,didn't,50.87,51.14
mention,mention,51.139999,51.559999000000005
was,was,51.57,52.0
it,it,52.449999,52.609998999999995
was,was,52.609999,52.759999
the,the,52.769999999999996,52.879999999999995
left,left,52.879999,53.249998999999995
that,that,53.260000000000005,53.45
brought,brought,53.449999,53.679998999999995
about,about,53.68,53.95
the,the,53.949999,54.059999
bathroom,bathroom,54.059999000000005,54.559999000000005
bill,bill,54.57,54.81
not,not,54.81,55.080000000000005
the,the,55.37,55.5
right,right,55.5,55.93
in,in,55.94,56.15
the,the,56.15,56.25
city,city,56.25,56.51
of,of,56.51,56.61
Charlotte,charlotte,56.61,56.98
like,like,56.98,57.22
the,the,57.22,57.32
city,city,57.32,57.55
of,of,57.55,57.64
Houston,houston,57.64,58.04
tried,tried,58.04,58.29
to,to,58.29,58.36
do,do,58.36,58.57
and,and,58.57,58.72
was,was,58.72,58.89
rejected,rejected,58.89,59.38
by,by,59.38,59.53
61,<unk>,59.53,60.0
percent,percent,60.0,60.28
of,of,60.28,60.33
the,the,60.33,60.39
vote,vote,60.39,60.58
The,the,60.6,60.74
city,city,60.74,61.0
of,of,61.0,61.11
Charlotte,charlotte,61.11,61.68
passed,passed,62.25,62.83
a,a,62.83,62.9
bathroom,bathroom,62.9,63.53
ordinance,ordinance,63.55,64.09
mandate,mandate,64.11,64.84
on,on,64.87,65.07000000000001
every,every,65.13,65.6
private,private,65.599999,66.009999
sector,sector,66.009999,66.379999
employer,employer,66.38,67.13
in,in,67.509999,67.689999
Charlotte,charlotte,67.69,68.03999999999999
North,north,68.03999999999999,68.24999999999999
Carolina,carolina,68.25,68.68
one,one,68.679999,68.769999
of,of,68.77,68.83999999999999
the,the,68.839999,68.909999
largest,largest,68.91,69.44
15th,<unk>,69.469999,70.529999
16th,,,
largest,largest,70.529999,70.769999
cities,cities,70.77,71.06
in,in,71.059999,71.129999
the,,,
United,united,71.129999,71.389999
States,states,71.389999,71.589999
of,of,71.59,71.71000000000001
America,america,71.709999,72.209999
And,and,72.95,73.16
I,i,73.16,73.34
think,think,73.35,73.58999999999999
that's,that's,73.59,73.81
government,government,73.82,74.21
overreach,,,
It's,it's,74.69,74.89999999999999
not,not,74.92,75.18
government's,government's,75.19,75.74
business,business,75.75,76.26
